"V1" "V2" "V3" "V4" "V5" "V6"
"Activity_type" "LAYING" "SITTING" "STANDING" "WALKING" "WALKING_DOWNSTAIRS" "WALKING_UPSTAIRS"
"TimeBodyAcc-MEAN()-X" "0.2686486" "0.2730596" "0.2791535" "0.2763369" "0.2881372" "0.2622946"
"TimeBodyAcc-MEAN()-Y" "-0.01831773" "-0.01268957" "-0.01615189" "-0.01790683" "-0.01631193" "-0.02592329"
"TimeBodyAcc-MEAN()-Z" "-0.1074356" "-0.1055170" "-0.1065869" "-0.1088817" "-0.1057616" "-0.1205379"
"TimeBodyAcc-STD()-X" "-0.9609324" "-0.9834462" "-0.9844347" "-0.3146445" " 0.1007663" "-0.2379897"
"TimeBodyAcc-STD()-Y" "-0.94350719" "-0.93488056" "-0.93250871" "-0.02358295" " 0.05954862" "-0.01603251"
"TimeBodyAcc-CORRELATION()-Y,Z" "-0.2468924" " 0.1909203" " 0.2294508" " 0.2406792" " 0.1312576" " 0.1016247"
"TimeGravityAcc-MEAN()-X" "-0.3750213" " 0.8797312" " 0.9414796" " 0.9349916" " 0.9264574" " 0.8750034"
"TimeGravityAcc-MEAN()-Y" " 0.6222704" " 0.1087135" "-0.1842465" "-0.1967135" "-0.1685072" "-0.2813772"
"TimeGravityAcc-MEAN()-Z" " 0.55561247" " 0.15377409" "-0.01405196" "-0.05382512" "-0.04797090" "-0.14079567"
"TimeGravityAcc-STD()-X" "-0.9433197" "-0.9796822" "-0.9880152" "-0.9776121" "-0.9497488" "-0.9481913"
"TimeGravityAcc-STD()-Y" "-0.9631917" "-0.9576727" "-0.9693518" "-0.9669039" "-0.9342661" "-0.9255493"
"TimeGravityAcc-CORRELATION()-Y,Z" "-0.41581356" " 0.31861899" " 0.37130769" " 0.05085718" " 0.20737104" " 0.01888707"
"TimeBodyAccJerk-MEAN()-X" "0.08184739" "0.07587885" "0.07502792" "0.07671874" "0.08922669" "0.07672932"
